location,latitude,longitude,address
Iseyin,7.9710106,3.5956141,"Ìsẹ́yìn, Oyo, Nigeria"
"Islamabad, Pakistan",33.6938118,73.0651511,"اسلام آباد, زون 1, وفاقی دارالحکومت اسلام آباد, 44000, پاکستان"
Itapetininga,-23.588607,-48.048326,"Itapetininga, Região Imediata de Itapetininga, Região Metropolitana de Sorocaba, Região Geográfica Intermediária de Sorocaba, São Paulo, Região Sudeste, Brasil"
Itatira- Ceará-Brasil,-4.5305504,-39.6210481,"Itatira, Região Geográfica Imediata de Canindé, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 62720-000, Brasil"
"Jabalpur, India",23.1701522,79.9324505,"Jabalpur, Ranjhi Tahsil, Jabalpur, Madhya Pradesh, India"
Jacmel,18.2352587,-72.5375127,"Jacmel, Commune Jacmel, Arrondissement de Jacmel, Département du Sud-Est, 9110, Ayiti"
"Jaipur, India",26.9154576,75.8189817,"Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India"
"Jakarta, Indonesia",-6.1754049,106.827168,"Daerah Khusus ibukota Jakarta, Jawa, Indonesia"
"Jammu, India",32.7185614,74.8580917,"Jammu, Jammu and Kashmir, 180001, India"
"Jamnagar, Gujarat",22.4732415,70.0552102,"Jamnagar, Jamnagar City Taluka, Jamnagar, Gujarat, India"
"Japan,Tokyo",35.6768601,139.7638947,"東京都, 日本"
Jharkhand,23.4559809,85.2557301,"Jharkhand, India"
Jimeta-Yola,9.213442223882156,12.464542908609742,"Ganye - Jimeta Federal Road, Yola, Yola North, Adamawa, Nigeria"
"Jinja city, Uganda",0.4353036,33.2055568,"Jinja City, Eastern Region, Uganda"
Jodhpur Rajasthan,26.2967719,73.0351433,"Jodhpur, Jodhpur Tehsil, Jodhpur, Rajasthan, India"
"Johannesburg,South Africa",-26.205,28.049722,"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
Jordan,44.6663146,-93.6261918,"Jordan, Scott County, Minnesota, United States"
"Juba, South Sudan",4.8459246,31.5959173,"Juba City, Juba, Central Equatoria الاستوائية المركزية, South Sudan جنوب السودان"
"Junagadh, Gujarat",21.5220416,70.4582458,"Junagadh, Junagadh City Taluka, Junagadh, Gujarat, 362015, India"
Kabul Afghanistan,34.5266431,69.1849082,"کابل, کابل ښاروالۍ, ولایت كابل, 1001, افغانستان"
Kachchh,23.583333,70,"Kutch, Gujarat, India"
"Kaduna, Kaduna State, Nigeria",10.5182899,7.4359863,"Kaduna, Kabala, Kaduna North, Kaduna, 800211, Nigeria"
"Kailahun,  Eastern Sierra Leone",8.2820297,-10.5551953,"Kailahun, Kailahun District, Eastern Province, Sierra Leone"
"Kailua Kona, Hawaii",19.641941,-155.996933,"Kailua, Hawaiʻi County, Hawaii, United States"
"Kakamega, Kenya",0.4957104,34.801548861634615,"Kakamega, Western, Kenya"
"Kakuma, Kenya",3.706286,34.873489,"Kakuma Town, Turkana, Rift Valley, Kenya"
Kalyan,19.2396742,73.1366482,"Kalyan, Kalyan-Dombivli, Kalyan Taluka, Thane, Maharashtra, India"
"Kampala, Uganda",0.3177137,32.5813539,"Kampala Capital City, Kampala, Central Region, Uganda"
"Kanchipuram, India",12.9647163,79.9839686,"Kanchipuram, Tamil Nadu, India"
"Kannur, Kerala (IN)",11.8763836,75.3737973,"Kannur, Kerala, India"
"Kano, Nigeria",11.9939978,8.5219738,"Kano, Yakasai, Kano Municipal, Kano, 700271, Nigeria"
"Kapiri Mposhi, Zambia",-13.9695026,28.6787997,"Kapiri Mposhi, Kapiri Mposhi District, Central Province, Zambia"
